date,raw_value,signal
2010-01-04,3772.497,0
2010-01-05,3806.741,0
2010-01-06,3788.803,0
2010-01-07,3713.539,0
2010-01-08,3735.382,0
2010-01-11,3745.841,0
2010-01-12,3809.633,0
2010-01-13,3716.072,0
2010-01-14,3784.207,0
2010-01-15,3804.152,0
2010-01-18,3839.077,0
2010-01-19,3843.874,0
2010-01-20,3715.206,0
2010-01-21,3730.97,0
2010-01-22,3665.17,0
2010-01-25,3617.689,0
2010-01-26,3510.546,0
2010-01-27,3471.122,0
2010-01-28,3494.778,0
2010-01-29,3504.567,0
2010-02-01,3454.906,0
2010-02-02,3443.356,0
2010-02-03,3521.391,0
2010-02-04,3526.18,0
2010-02-05,3453.973,0
2010-02-08,3452.078,0
2010-02-09,3465.49,0
2010-02-10,3512.458,0
2010-02-11,3513.177,0
2010-02-12,3551.14,0
2010-02-22,3541.111,0
2010-02-23,3529.613,0
2010-02-24,3589.373,0
2010-02-25,3644.415,0
2010-02-26,3638.796,0
2010-03-01,3685.066,1
2010-03-02,3676.661,1
2010-03-03,3711.335,1
2010-03-04,3603.657,1
2010-03-05,3614.571,1
2010-03-08,3647.573,1
2010-03-09,3662.139,1
2010-03-10,3627.759,1
2010-03-11,3617.067,1
2010-03-12,3566.385,1
2010-03-15,3520.148,1
2010-03-16,3547.042,1
2010-03-17,3630.646,1
2010-03-18,3630.381,1
2010-03-19,3658.564,1
2010-03-22,3673.782,1
2010-03-23,3646.575,1
2010-03-24,3653.164,1
2010-03-25,3601.7,1
2010-03-26,3652.179,1
2010-03-29,3720.893,1
2010-03-30,3733.555,1
2010-03-31,3722.858,1
2010-04-01,3776.169,1
2010-04-02,3791.722,1
2010-04-06,3793.427,1
2010-04-07,3783.848,1
2010-04-08,3755.686,1
2010-04-09,3799.513,1
2010-04-12,3792.268,1
2010-04-13,3801.304,1
2010-04-14,3827.271,1
2010-04-15,3804.061,1
2010-04-16,3773.157,1
2010-04-19,3586.866,-1
2010-04-20,3602.041,-1
2010-04-21,3687.748,-1
2010-04-22,3666.337,-1
2010-04-23,3646.314,-1
2010-04-26,3633.639,-1
2010-04-27,3552.642,-1
2010-04-28,3536.494,-1
2010-04-29,3468.145,-1
2010-04-30,3435.975,-1
2010-05-04,3400.087,-1
2010-05-05,3449.605,-1
2010-05-06,3311.329,-1
2010-05-07,3248.09,-1
2010-05-10,3240.746,-1
2010-05-11,3165.43,-1
2010-05-12,3149.003,-1
2010-05-13,3228.7,-1
2010-05-14,3222.386,-1
2010-05-17,3038.314,-1
2010-05-18,3091.452,-1
2010-05-19,3085.787,-1
2010-05-20,3038.313,-1
2010-05-21,3090.108,-1
2010-05-24,3215.119,-1
2010-05-25,3165.845,-1
2010-05-26,3169.711,-1
2010-05-27,3223.431,-1
2010-05-28,3221.74,-1
2010-05-31,3130.954,-1
2010-06-01,3087.956,-1
2010-06-02,3114.218,-1
2010-06-03,3091.48,-1
2010-06-04,3106.367,-1
2010-06-07,3067.169,-1
2010-06-08,3081.74,-1
2010-06-09,3169.266,-1
2010-06-10,3148.913,-1
2010-06-11,3148.398,-1
2010-06-17,3123.838,-1
2010-06-18,3042.931,-1
2010-06-21,3133.849,-1
2010-06-22,3145.721,-1
2010-06-23,3122.841,-1
2010-06-24,3122.774,-1
2010-06-25,3088.873,-1
2010-06-28,3055.475,-1
2010-06-29,2903.186,-1
2010-06-30,2862.784,-1
2010-07-01,2821.479,-1
2010-07-02,2819.716,-1
2010-07-05,2798.436,-1
2010-07-06,2863.208,-1
2010-07-07,2890.858,-1
2010-07-08,2882.316,-1
2010-07-09,2963.601,-1
2010-07-12,2996.35,-1
2010-07-13,2951.067,-1
2010-07-14,2974.539,-1
2010-07-15,2916.699,-1
2010-07-16,2928.325,-1
2010-07-19,2999.13,-1
2010-07-20,3072.461,-1
2010-07-21,3078.941,-1
2010-07-22,3119.909,-1
2010-07-23,3128.351,-1
2010-07-26,3157.164,-1
2010-07-27,3146.779,-1
2010-07-28,3220.088,-1
2010-07-29,3238.269,-1
2010-07-30,3231.484,-1
2010-08-02,3289.324,-1
2010-08-03,3233.472,-1
2010-08-04,3255.485,-1
2010-08-05,3244.377,-1
2010-08-06,3301.802,-1
2010-08-09,3333.61,-1
2010-08-10,3226.128,-1
2010-08-11,3253.145,-1
2010-08-12,3214.205,-1
2010-08-13,3265.493,-1
2010-08-16,3340.924,-1
2010-08-17,3366.391,-1
2010-08-18,3362.677,-1
2010-08-19,3376.847,-1
2010-08-20,3308.992,-1
2010-08-23,3318.44,-1
2010-08-24,3345.492,-1
2010-08-25,3271.813,-1
2010-08-26,3285.196,-1
2010-08-27,3299.987,-1
2010-08-30,3374.498,-1
2010-08-31,3378.093,-1
2010-09-01,3347.765,-1
2010-09-02,3401.521,-1
2010-09-03,3411.982,-1
2010-09-06,3446.497,-1
2010-09-07,3460.921,-1
2010-09-08,3471.414,-1
2010-09-09,3415.419,-1
2010-09-10,3434.13,-1
2010-09-13,3479.449,-1
2010-09-14,3486.028,-1
2010-09-15,3426.308,-1
2010-09-16,3353.931,-1
2010-09-17,3355.767,-1
2010-09-20,3331.836,-1
2010-09-21,3333.738,-1
2010-09-27,3402.622,-1
2010-09-28,3380.643,-1
2010-09-29,3358.65,-1
2010-09-30,3420.955,-1
2010-10-08,3528.451,1
2010-10-11,3595.386,1
2010-10-12,3629.271,1
2010-10-13,3667.776,1
2010-10-14,3628.323,1
2010-10-15,3700.673,1
2010-10-18,3667.066,1
2010-10-19,3758.122,1
2010-10-20,3778.904,1
2010-10-21,3774.813,1
2010-10-22,3791.903,1
2010-10-25,3899.028,1
2010-10-26,3900.682,1
2010-10-27,3844.398,1
2010-10-28,3842.25,1
2010-10-29,3846.181,1
2010-11-01,3953.594,1
2010-11-02,3940.284,1
2010-11-03,3889.061,1
2010-11-04,3966.447,1
2010-11-05,4018.234,1
2010-11-08,4071.824,1
2010-11-09,4064.703,1
2010-11-10,4054.479,1
2010-11-11,4048.106,1
2010-11-12,3797.948,1
2010-11-15,3856.257,1
2010-11-16,3704.685,1
2010-11-17,3600.781,-1
2010-11-18,3652.742,-1
2010-11-19,3718.198,-1
2010-11-22,3736.314,-1
2010-11-23,3668.448,-1
2010-11-24,3759.738,-1
2010-11-25,3805.276,-1
2010-11-26,3778.268,-1
2010-11-29,3780.912,-1
2010-11-30,3701.815,-1
2010-12-01,3702.453,-1
2010-12-02,3722.495,-1
2010-12-03,3713.282,-1
2010-12-06,3696.287,-1
2010-12-07,3741.368,-1
2010-12-08,3718.654,-1
2010-12-09,3654.54,-1
2010-12-10,3701.414,-1
2010-12-13,3812.638,-1
2010-12-14,3837.363,-1
2010-12-15,3818.617,-1
2010-12-16,3804.384,-1
2010-12-17,3802.809,-1
2010-12-20,3750.679,-1
2010-12-21,3816.779,-1
2010-12-22,3780.46,-1
2010-12-23,3731.454,-1
2010-12-24,3688.429,-1
2010-12-27,3602.289,-1
2010-12-28,3531.295,-1
2010-12-29,3567.783,-1
2010-12-30,3575.238,-1
2010-12-31,3652.168,-1
2011-01-04,3715.531,-1
2011-01-05,3709.431,-1
2011-01-06,3691.124,-1
2011-01-07,3687.252,-1
2011-01-10,3605.544,-1
2011-01-11,3607.074,-1
2011-01-12,3628.088,-1
2011-01-13,3626.512,-1
2011-01-14,3562.683,-1
2011-01-17,3421.591,-1
2011-01-18,3429.723,-1
2011-01-19,3509.175,-1
2011-01-20,3391.508,-1
2011-01-21,3427.489,-1
2011-01-24,3375.646,-1
2011-01-25,3343.786,-1
2011-01-26,3394.795,-1
2011-01-27,3450.206,-1
2011-01-28,3471.969,-1
2011-01-31,3518.07,-1
2011-02-01,3522.85,-1
2011-02-09,3492.891,-1
2011-02-10,3574.733,-1
2011-02-11,3601.834,-1
2011-02-14,3693.83,-1
2011-02-15,3693.804,-1
2011-02-16,3740.295,1
2011-02-17,3748.309,1
2011-02-18,3712.299,1
2011-02-21,3773.695,1
2011-02-22,3669.537,1
2011-02-23,3696.698,1
2011-02-24,3719.314,1
2011-02-25,3725.679,1
2011-02-28,3774.153,1
2011-03-01,3792.093,1
2011-03-02,3780.556,1
2011-03-03,3738.289,1
2011-03-04,3789.42,1
2011-03-07,3852.048,1
2011-03-08,3862.655,1
2011-03-09,3868.732,1
2011-03-10,3818.756,1
2011-03-11,3794.69,1
2011-03-14,3820.495,1
2011-03-15,3762.91,1
2011-03-16,3813.219,1
2011-03-17,3749.132,1
2011-03-18,3770.427,1
2011-03-21,3754.416,1
2011-03-22,3765.03,1
2011-03-23,3813.223,1
2011-03-24,3808.205,1
2011-03-25,3848.789,1
2011-03-28,3841.937,1
2011-03-29,3793.728,1
2011-03-30,3779.121,1
2011-03-31,3737.716,1
2011-04-01,3790.167,1
2011-04-06,3814.875,1
2011-04-07,3833.132,1
2011-04-08,3870.617,1
2011-04-11,3846.02,1
2011-04-12,3841.72,1
2011-04-13,3887.909,1
2011-04-14,3873.124,1
2011-04-15,3878.761,1
2011-04-18,3886.017,1
2011-04-19,3826.113,1
2011-04-20,3837.607,1
2011-04-21,3863.048,1
2011-04-22,3842.823,1
2011-04-25,3775.007,1
2011-04-26,3734.637,-1
2011-04-27,3702.521,-1
2011-04-28,3620.668,-1
2011-04-29,3665.819,-1
2011-05-03,3704.248,-1
2011-05-04,3617.758,-1
2011-05-05,3621.68,-1
2011-05-06,3627.419,-1
2011-05-09,3645.969,-1
2011-05-10,3672.021,-1
2011-05-11,3669.307,-1
2011-05-12,3618.247,-1
2011-05-13,3647.631,-1
2011-05-16,3627.76,-1
2011-05-17,3629.398,-1
2011-05-18,3655.518,-1
2011-05-19,3635.841,-1
2011-05-20,3631.619,-1
2011-05-23,3508.694,-1
2011-05-24,3510.264,-1
2011-05-25,3469.131,-1
2011-05-26,3447.892,-1
2011-05-27,3392.377,-1
2011-05-30,3362.27,-1
2011-05-31,3423.782,-1
2011-06-01,3440.537,-1
2011-06-02,3388.541,-1
2011-06-03,3432.729,-1
2011-06-07,3458.145,-1
2011-06-08,3468.075,-1
2011-06-09,3397.602,-1
2011-06-10,3407.1,-1
2011-06-13,3397.93,-1
2011-06-14,3448.501,-1
2011-06-15,3415.572,-1
2011-06-16,3353.318,-1
2011-06-17,3315.636,-1
2011-06-20,3285.562,-1
2011-06-21,3326.553,-1
2011-06-22,3323.38,-1
2011-06-23,3380.999,-1
2011-06-24,3460.726,-1
2011-06-27,3485.794,-1
2011-06-28,3492.893,-1
2011-06-29,3446.54,-1
2011-06-30,3496.739,-1
2011-07-01,3507.994,-1
2011-07-04,3590.998,1
2011-07-05,3602.282,1
2011-07-06,3601.898,1
2011-07-07,3593.652,1
2011-07-08,3596.059,1
2011-07-11,3612.672,1
2011-07-12,3552.077,1
2011-07-13,3614.835,1
2011-07-14,3635.623,1
2011-07-15,3655.582,1
2011-07-18,3652.593,1
2011-07-19,3616.539,1
2011-07-20,3616.388,1
2011-07-21,3573.986,1
2011-07-22,3586.674,1
2011-07-25,3458.394,1
2011-07-26,3471.906,1
2011-07-27,3511.529,1
2011-07-28,3491.167,1
2011-07-29,3470.446,1
2011-08-01,3481.104,1
2011-08-02,3457.892,1
2011-08-03,3462.98,1
2011-08-04,3473.524,1
2011-08-05,3400.429,1
2011-08-08,3257.112,-1
2011-08-09,3256.304,-1
2011-08-10,3294.261,-1
2011-08-11,3348.175,-1
2011-08-12,3370.212,-1
2011-08-15,3419.895,-1
2011-08-16,3395.637,-1
2011-08-17,3384.14,-1
2011-08-18,3323.582,-1
