date,raw_value,signal
2010-05-27,97754138,0
2010-05-28,81174140,0
2010-05-31,70706462,0
2010-06-01,64579831,0
2010-06-02,38471725,0
2010-06-03,78536420,0
2010-06-04,53392500,0
2010-06-07,47427743,0
2010-06-08,50763304,0
2010-06-09,153613142,0
2010-06-10,56513276,0
2010-06-11,66922538,0
2010-06-17,52463018,0
2010-06-18,77155646,0
2010-06-21,129957860,0
2010-06-22,90069591,0
2010-06-23,88364240,0
2010-06-24,80148723,0
2010-06-25,56851854,0
2010-06-28,82769881,0
2010-06-29,89308646,0
2010-06-30,67581913,0
2010-07-01,61202696,0
2010-07-02,87609881,0
2010-07-05,139826261,1
2010-07-06,112584647,1
2010-07-07,96928236,1
2010-07-08,90880561,1
2010-07-09,194732312,1
2010-07-12,201622048,1
2010-07-13,164717387,1
2010-07-14,145382131,1
2010-07-15,104965611,1
2010-07-16,84317533,1
2010-07-19,138007601,1
2010-07-20,318905885,1
2010-07-21,199877944,1
2010-07-22,141611410,1
2010-07-23,229119522,1
2010-07-26,152422923,1
2010-07-27,142088444,1
2010-07-28,191404926,1
2010-07-29,219577533,1
2010-07-30,182753109,1
2010-08-02,263254258,1
2010-08-03,237731233,1
2010-08-04,217374880,1
2010-08-05,247456994,1
2010-08-06,213703830,1
2010-08-09,194962226,1
2010-08-10,228014529,1
2010-08-11,172654415,1
2010-08-12,150195423,1
2010-08-13,200413118,1
2010-08-16,293037073,1
2010-08-17,241200429,1
2010-08-18,268193226,1
2010-08-19,352044263,1
2010-08-20,244759204,1
2010-08-23,196921672,1
2010-08-24,310930424,1
2010-08-25,237250454,1
2010-08-26,137309816,1
2010-08-27,183203062,1
2010-08-30,288075230,1
2010-08-31,319523232,1
2010-09-01,337958546,1
2010-09-02,305984263,1
2010-09-03,231654078,1
2010-09-06,396763095,1
2010-09-07,250767824,1
2010-09-08,431362701,1
2010-09-09,366592156,1
2010-09-10,264148313,1
2010-09-13,348960602,1
2010-09-14,272999500,1
2010-09-15,268673385,1
2010-09-16,272964143,1
2010-09-17,201160600,1
2010-09-20,198091105,1
2010-09-21,138853715,1
2010-09-27,292267571,1
2010-09-28,259670927,1
2010-09-29,310899342,1
2010-09-30,381622990,1
2010-10-08,651386400,1
2010-10-11,869307639,1
2010-10-12,741401841,1
2010-10-13,940702385,1
2010-10-14,921929132,1
2010-10-15,1209543401,1
2010-10-18,1153690251,1
2010-10-19,853812415,1
2010-10-20,1288349447,1
2010-10-21,747464015,1
2010-10-22,884829760,1
2010-10-25,1263242867,1
2010-10-26,1155866481,1
2010-10-27,1019680046,1
2010-10-28,758106901,1
2010-10-29,875260721,1
2010-11-01,1020925191,1
2010-11-02,1209959833,1
2010-11-03,1049505360,1
2010-11-04,946500966,1
2010-11-05,1280283077,1
2010-11-08,1083174465,1
2010-11-09,1044510519,1
2010-11-10,1130514130,1
2010-11-11,1367169959,1
2010-11-12,1167151752,1
2010-11-15,973299197,1
2010-11-16,762984364,1
2010-11-17,770565904,1
2010-11-18,539254104,-1
2010-11-19,557283632,-1
2010-11-22,770665735,-1
2010-11-23,498945856,-1
2010-11-24,778114094,-1
2010-11-25,871896273,-1
2010-11-26,604586994,-1
2010-11-29,566099086,-1
2010-11-30,671704403,-1
2010-12-01,441844487,-1
2010-12-02,571199110,-1
2010-12-03,520009909,-1
2010-12-06,602146659,-1
2010-12-07,686129394,-1
2010-12-08,659673454,-1
2010-12-09,818801241,-1
2010-12-10,645349500,-1
2010-12-13,1416082707,1
2010-12-14,876913426,1
2010-12-15,909356476,1
2010-12-16,717816341,1
2010-12-17,487371286,1
2010-12-20,705812188,1
2010-12-21,931164646,1
2010-12-22,941952953,1
2010-12-23,676114127,1
2010-12-24,613752012,1
2010-12-27,906472413,1
2010-12-28,648710463,1
2010-12-29,578473709,1
2010-12-30,626322534,1
2010-12-31,890536516,1
2011-01-04,1076247472,1
2011-01-05,1068202210,1
2011-01-06,773302801,1
2011-01-07,988388404,1
2011-01-10,789828175,1
2011-01-11,579084794,1
2011-01-12,644968326,1
2011-01-13,568178213,1
2011-01-14,634280057,1
2011-01-17,709706402,1
2011-01-18,629438629,1
2011-01-19,740068670,1
2011-01-20,718014916,1
2011-01-21,786818437,1
2011-01-24,744682822,1
2011-01-25,538651984,1
2011-01-26,591198181,1
2011-01-27,992605903,1
2011-01-28,660686455,1
2011-01-31,918089621,1
2011-02-01,677657725,1
2011-02-09,789096263,1
2011-02-10,811276118,1
2011-02-11,855164922,1
2011-02-14,1443339829,1
2011-02-15,1335250902,1
2011-02-16,1356448856,1
2011-02-17,1435709678,1
