date,raw_value,signal
2017-03-06,,0
2017-03-07,,0
2017-03-08,,0
2017-03-09,,0
2017-03-10,,0
2017-03-13,,0
2017-03-14,,0
2017-03-15,,0
2017-03-16,,0
2017-03-17,,0
2017-03-20,,0
2017-03-21,,0
2017-03-22,,0
2017-03-23,,0
2017-03-24,,0
2017-03-27,,0
2017-03-28,,0
2017-03-29,,0
2017-03-30,,0
2017-03-31,3283770.5164658832,0
2017-04-05,3334323.2682337305,0
2017-04-06,1703723.4690792873,0
2017-04-07,1661774.8447091994,0
2017-04-10,1630237.183419698,0
2017-04-11,1173760.4357787848,0
2017-04-12,1141471.8201306234,0
2017-04-13,1066887.2317388079,0
2017-04-14,1014236.2835292369,0
2017-04-17,1061798.6585404805,0
2017-04-18,1021610.783587428,0
2017-04-19,363795.6970038692,0
2017-04-20,1860266.6658020825,0
2017-04-21,1907200.4506845295,0
2017-04-24,2008222.0408754759,0
2017-04-25,2117618.2535298867,0
2017-04-26,2117618.2592759826,0
2017-04-27,2117618.257641879,0
2017-04-28,2261677.3498472115,0
2017-05-02,2261677.344658632,0
2017-05-03,2182262.261435344,0
2017-05-04,2088728.35652505,0
2017-05-05,2088728.3546072575,0
2017-05-08,2088728.351217478,0
2017-05-09,2088728.3529005605,0
2017-05-10,2133147.724373202,0
2017-05-11,2172524.874007811,0
2017-05-12,2283243.683491529,0
2017-05-15,2485100.3724612733,0
2017-05-16,2445163.7734894296,0
2017-05-17,2502536.283857836,0
2017-05-18,2527301.7952585937,0
2017-05-19,1080922.792976004,1
2017-05-22,1091012.1086109155,1
2017-05-23,1034754.4840311917,1
2017-05-24,1001144.4596736783,1
2017-05-25,1162425.8440841138,1
2017-05-26,1277976.9566504618,1
2017-05-31,1229657.755431006,1
2017-06-01,1229657.7513152494,1
2017-06-02,1229657.7426355265,1
2017-06-05,1229657.7131649295,1
2017-06-06,1727566.7042109682,1
2017-06-07,1955829.1663360477,1
2017-06-08,1955829.1515516448,1
2017-06-09,1911409.7532470431,1
2017-06-12,2300064.529651695,1
2017-06-13,2326273.5682186647,1
2017-06-14,2550261.1503784796,1
2017-06-15,2540414.3067780705,1
2017-06-16,2535966.824110325,1
2017-06-19,2589702.7012822023,1
2017-06-20,2623122.5131330695,1
2017-06-21,2759011.893913972,1
2017-06-22,2855054.745362156,1
2017-06-23,2883037.7875263235,1
2017-06-26,3000702.170820094,1
2017-06-27,3945967.3344966075,-1
2017-06-28,3850227.44017052,-1
2017-06-29,3957221.500598001,-1
2017-06-30,3957221.5061809225,-1
2017-07-03,3957221.528943601,-1
2017-07-04,3645372.6955220043,-1
2017-07-05,3417110.227856764,-1
2017-07-06,3417110.236317134,-1
2017-07-07,3417110.2611896633,-1
2017-07-10,3051476.951993405,-1
2017-07-11,2914549.0897159483,-1
2017-07-12,2439328.6392502994,-1
2017-07-13,2534736.7533860756,-1
2017-07-14,3126705.4393631653,-1
2017-07-17,3048204.0271782307,-1
2017-07-18,2920289.962851533,-1
2017-07-19,2958533.662575566,-1
2017-07-20,3340952.5559249963,-1
2017-07-21,3237183.2990707206,-1
2017-07-24,2958237.501566188,-1
2017-07-25,4106321.682111626,-1
2017-07-26,4106321.687476512,-1
2017-07-27,3999327.624810096,-1
2017-07-28,4113577.442224198,-1
2017-07-31,4113577.4430218665,-1
2017-08-01,4362319.67711014,-1
2017-08-02,4362319.670696055,-1
2017-08-03,4362319.667752298,-1
2017-08-04,4362319.663280429,-1
2017-08-07,4299921.044486107,-1
2017-08-08,4299921.053415661,-1
2017-08-09,4299921.063431484,-1
2017-08-10,4157229.0703690266,-1
2017-08-11,3512335.3483542753,-1
2017-08-14,3512335.359035277,-1
2017-08-15,8151455.034516538,-1
2017-08-16,8041997.549250948,-1
2017-08-17,7518771.812316023,-1
2017-08-18,8368082.990267369,-1
2017-08-21,8438811.715309951,-1
2017-08-22,6287615.859212372,-1
2017-08-23,6287615.832915777,-1
2017-08-24,6369402.55635113,-1
2017-08-25,6255152.724985645,-1
2017-08-28,6255152.70519919,-1
2017-08-29,5820350.281117884,-1
2017-08-30,5820350.26714105,-1
2017-08-31,5820350.248909412,-1
2017-09-01,5820350.230130187,-1
2017-09-04,6764086.128370235,-1
2017-09-05,6764086.100022994,-1
2017-09-06,6764086.086865855,-1
2017-09-07,6764086.061458724,-1
2017-09-08,6764086.035892807,-1
2017-09-11,6764086.009921705,-1
2017-09-12,2205077.9408240113,1
2017-09-13,2083379.201810358,1
2017-09-14,2083379.1967295327,1
2017-09-15,1234068.0001890892,1
2017-09-18,1602839.0381283672,1
2017-09-19,1545134.4010097575,1
2017-09-20,1545134.3955405857,1
2017-09-21,1463347.6421594878,1
2017-09-22,1525080.66723212,1
2017-09-25,1576430.0427679315,1
2017-09-26,1686844.0350995946,1
2017-09-27,1686844.0637364325,1
2017-09-28,1686844.0957684233,1
2017-09-29,1686844.125190746,1
2017-10-09,743108.2304050375,1
2017-10-10,793003.3613635064,1
2017-10-11,793003.3869949114,1
2017-10-12,793003.4147347192,1
2017-10-13,793003.4448342393,1
2017-10-16,845842.9459641442,1
2017-10-17,765731.349308604,1
2017-10-18,817287.7788551917,1
2017-10-19,845303.7921482265,1
2017-10-20,883545.1727153637,1
2017-10-23,545222.1561308367,1
2017-10-24,690756.6645965492,1
2017-10-25,690756.6945147744,1
2017-10-26,690756.7269473653,1
2017-10-27,629023.7108007666,1
2017-10-30,577674.3519743608,1
2017-10-31,467260.3835005088,1
2017-11-01,467260.3724837523,1
2017-11-02,467260.3647619053,1
2017-11-03,495417.33455406234,1
2017-11-06,561787.902621712,1
2017-11-07,1618507.183734286,-1
2017-11-08,1749364.4604852374,-1
2017-11-09,1813718.5698793277,-1
2017-11-10,1813718.5619239646,-1
2017-11-13,1760879.082305779,-1
2017-11-14,1760879.0683502306,-1
2017-11-15,1709322.665544305,-1
2017-11-16,3104543.5442070486,-1
2017-11-17,3483882.935868401,-1
2017-11-20,3382706.171078288,-1
2017-11-21,3319415.546568789,-1
2017-11-22,3841668.0363459014,-1
2017-11-23,3841668.016832857,-1
2017-11-24,3841668.000736782,-1
2017-11-27,3841667.9809267907,-1
2017-11-28,3945181.439001602,-1
2017-11-29,3945181.4207998826,-1
2017-11-30,3945181.4013710073,-1
2017-12-01,4085578.518154426,-1
2017-12-04,4067993.8371856064,-1
2017-12-05,2961379.428747567,-1
2017-12-06,2979568.161504966,-1
2017-12-07,3094378.687270577,-1
2017-12-08,3154918.4577430403,-1
2017-12-11,3989471.184849255,-1
2017-12-12,3989471.175453025,-1
2017-12-13,3989471.162336722,-1
2017-12-14,2687776.641869844,1
2017-12-15,2270195.885054583,1
2017-12-18,2552747.2605452677,1
2017-12-19,2632106.7510676878,1
2017-12-20,2554342.247495522,1
2017-12-21,2554342.234946648,1
2017-12-22,2624363.9390040105,1
2017-12-25,2893550.951070313,1
2017-12-26,2900028.4517113892,1
2017-12-27,2900028.487260327,1
2017-12-28,2900028.515854693,1
2017-12-29,2731474.4375617993,1
2018-01-02,2682688.543222896,1
2018-01-03,2682688.5700501213,1
2018-01-04,2533642.5548823806,1
2018-01-05,2440484.8167686774,1
2018-01-08,2379945.0314558693,1
2018-01-09,2057299.7073386211,1
2018-01-10,2057299.7067184162,1
2018-01-11,2057299.715125903,1
2018-01-12,1935757.3624609218,1
2018-01-15,1935757.3660712745,1
2018-01-16,2113277.085429401,1
2018-01-17,1951673.7221811502,1
