date,underlying,commodity_id,rank,member_name,long_position,long_position_change,short_position,short_position_change
2017-03-06,IF,,1,中信期货,,,5585.0,-64.0
2017-03-06,IF,IF,1,银河期货,4366.0,-50.0,,
2017-03-06,IF,IF,2,中信期货,3446.0,-246.0,,
2017-03-06,IF,,2,国泰君安,,,2351.0,16.0
2017-03-06,IF,,3,华泰期货,,,2125.0,17.0
2017-03-06,IF,IF,3,国投安信,2899.0,217.0,,
2017-03-06,IF,IF,4,国泰君安,2673.0,-218.0,,
2017-03-06,IF,,4,银河期货,,,2092.0,5.0
2017-03-06,IF,IF,5,中金期货,1889.0,-108.0,,
2017-03-06,IF,,5,招商期货,,,1762.0,-20.0
2017-03-06,IF,,6,上海东证,,,1701.0,-10.0
2017-03-06,IF,IF,6,广发期货,1525.0,-73.0,,
2017-03-06,IF,,7,光大期货,,,1628.0,-51.0
2017-03-06,IF,IF,7,鲁证期货,1219.0,143.0,,
2017-03-06,IF,,8,广发期货,,,1519.0,-37.0
2017-03-06,IF,IF,8,永安期货,1205.0,-42.0,,
2017-03-06,IF,,9,兴证期货,,,1449.0,-59.0
2017-03-06,IF,IF,9,申银万国,1199.0,-26.0,,
2017-03-06,IF,IF,10,兴证期货,1118.0,59.0,,
2017-03-06,IF,,10,国投安信,,,1299.0,-134.0
2017-03-06,IF,IF,11,华泰期货,1069.0,-17.0,,
2017-03-06,IF,,11,永安期货,,,1193.0,-100.0
2017-03-06,IF,IF,12,五矿经易,988.0,-335.0,,
2017-03-06,IF,,12,国信期货,,,1183.0,-8.0
2017-03-06,IF,IF,13,海通期货,882.0,-86.0,1099.0,-92.0
2017-03-06,IF,,14,南华期货,,,802.0,-21.0
2017-03-06,IF,IF,14,安粮期货,768.0,105.0,,
2017-03-06,IF,IF,15,南华期货,753.0,25.0,,
2017-03-06,IF,,15,建信期货,,,664.0,-43.0
2017-03-06,IF,IF,16,招商期货,673.0,30.0,,
2017-03-06,IF,,16,鲁证期货,,,607.0,-19.0
2017-03-06,IF,IF,17,上海东证,652.0,-21.0,,
2017-03-06,IF,,17,申银万国,,,502.0,13.0
2017-03-06,IF,,18,兴业期货,,,471.0,-50.0
2017-03-06,IF,IF,18,浙商期货,647.0,-75.0,,
2017-03-06,IF,,19,中金期货,,,421.0,2.0
2017-03-06,IF,IF,19,光大期货,490.0,-22.0,,
2017-03-06,IF,IF,20,新湖期货,447.0,21.0,,
